scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Rosa sericea f. pteracantha,¿í´Ì¾îÃ«Ç¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Rosa sikangensis,´¨Î÷Ç¾Ş±,5,6,7,9,NA,Rosaceae,WD
Rosa soulieana,´¨µáÇ¾Ş±,5,7,8,9,NA,Rosaceae,WD
Rosa soulieana var. microphylla,Ğ¡Ò¶´¨µáÇ¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Rosa soulieana var. sungpanensis,´óÒ¶´¨µáÇ¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Rosa soulieana var. yunnanensis,Ã«Ò¶´¨µáÇ¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Rosa sweginzowii,±â´ÌÇ¾Ş±,6,7,8,11,Rosa,Rosaceae,WD
Rosa sweginzowii var. glandulosa,ÏÙÒ¶±â´ÌÇ¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Rosa tibetica,Î÷²ØÇ¾Ş±,7,8,8,10,NA,Rosaceae,WD
Rosa webbiana,²Ø±ßÇ¾Ş±,6,7,7,9,Rosa,Rosaceae,WD
Rosa willmottiae,Ğ¡Ò¶Ç¾Ş±,5,6,7,9,Rosa,Rosaceae,WD
Rosa willmottiae var. glandulifera,ÏÙÃ«Ğ¡Ò¶Ç¾Ş±,NA,NA,NA,NA,NA,Rosaceae,WD
Roscoea alpina,¸ßÉ½ÏóÑÀ²Î,5,8,NA,NA,NA,Zingiberaceae,CB
Roscoea auriculata,¶úÒ¶ÏóÑÀ²Î,6,8,NA,NA,Roscoea,Zingiberaceae,CB
Roscoea capitata,Í·»¨ÏóÑÀ²Î,7,8,NA,NA,Roscoea,Zingiberaceae,CB
Roscoea cautleoides,Ôç»¨ÏóÑÀ²Î,6,8,NA,NA,Roscoea,Zingiberaceae,CB
Roscoea debilis,³¤±úÏóÑÀ²Î,7,7,NA,NA,Roscoea,Zingiberaceae,CB
Roscoea forrestii,´óÀíÏóÑÀ²Î,5,7,NA,NA,NA,Zingiberaceae,CB
Roscoea humeana,´ó»¨ÏóÑÀ²Î,5,6,NA,NA,Roscoea,Zingiberaceae,CB
Roscoea schneideriana,ÎŞ±úÏóÑÀ²Î,7,8,NA,NA,NA,Zingiberaceae,CB
Roscoea tibetica,²ØÏóÑÀ²Î,6,7,NA,NA,Roscoea,Zingiberaceae,CB
Rosularia alpestris,³¤Ò¶ÍßÁ«,6,7,NA,NA,Rosularia,Crassulaceae,CB
Rourea minor,ºìÒ¶ÌÙ,4,10,5,3,Rourea,Connaraceae,WD
Rubia chinensis,ÖĞ¹úÜç²İ,8,8,9,10,Rubia,Rubiaceae,CB
Rubia chitralensis,¸ßÔ­Üç²İ,6,7,7,10,NA,Rubiaceae,CB
Rubia cordifolia,Üç²İ,8,9,9,11,Rubia,Rubiaceae,CB
Rubia manjith,èóÜç²İ,6,9,6,9,Rubia,Rubiaceae,CB
