scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Impatiens loulanensis,Â·ÄÏ·ïÏÉ»¨,8,9,NA,NA,NA,Balsaminaceae,CB
Impatiens lucorum,ÁÖÉú·ïÏÉ»¨,8,9,NA,NA,NA,Balsaminaceae,CB
Impatiens margaritifera var. humilis,°«Ğ¡ÎŞ¾à·ïÏÉ»¨,NA,NA,NA,NA,NA,Balsaminaceae,CB
Impatiens martinii,³İ°ú·ïÏÉ»¨,7,9,8,10,Impatiens,Balsaminaceae,CB
Impatiens microstachys,Ğ¡Ëë·ïÏÉ»¨,8,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens monticola,É½µØ·ïÏÉ»¨,7,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens muliensis,Ä¾Àï·ïÏÉ»¨,9,9,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens mussoti,Ä½Ë÷·ïÏÉ»¨,7,10,7,10,NA,Balsaminaceae,CB
Impatiens nasuta,´ó±Ç·ïÏÉ»¨,8,8,9,10,Impatiens,Balsaminaceae,CB
Impatiens noli-tangere,Ë®½ğ·ï,7,9,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens notolopha,Î÷¹Ì·ïÏÉ»¨,7,8,8,9,NA,Balsaminaceae,CB
Impatiens nubigena,¸ßÉ½·ïÏÉ»¨,8,8,9,9,Impatiens,Balsaminaceae,CB
Impatiens odontopetala,³İ°ê·ïÏÉ»¨,8,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens oligoneura,ÉÙÂö·ïÏÉ»¨,7,9,NA,NA,NA,Balsaminaceae,CB
Impatiens omeiana,¶ëÃ¼·ïÏÉ»¨,8,9,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens oxyanthera,ºìïô·ïÏÉ»¨,9,9,NA,NA,NA,Balsaminaceae,CB
Impatiens platyceras,¿í¾à·ïÏÉ»¨,7,8,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens platychlaena,×Ïİà·ïÏÉ»¨,8,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens polyceras,¶à½Ç·ïÏÉ»¨,7,8,7,8,NA,Balsaminaceae,CB
Impatiens potaninii,Â¤ÄÏ·ïÏÉ»¨,8,10,8,10,NA,Balsaminaceae,CB
Impatiens pterosepala,Òíİà·ïÏÉ»¨,7,9,10,11,NA,Balsaminaceae,CB
Impatiens pudica,ĞßÇÓ·ïÏÉ»¨,8,10,8,10,NA,Balsaminaceae,CB
Impatiens quadriloba,ËÄÁÑ·ïÏÉ»¨,NA,NA,NA,NA,NA,Balsaminaceae,CB
Impatiens racemosa,×Ü×´·ïÏÉ»¨,6,8,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens radiata,·øÉä·ïÏÉ»¨,8,9,8,9,NA,Balsaminaceae,CB
Impatiens rectirostrata,Ö±à¹·ïÏÉ»¨,9,9,NA,NA,NA,Balsaminaceae,CB
Impatiens rhombifolia,ÁâÒ¶·ïÏÉ»¨,8,9,NA,NA,NA,Balsaminaceae,CB
Impatiens robusta,´Ö×³·ïÏÉ»¨,7,7,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens rostellata,¶Ìà¹·ïÏÉ»¨,7,8,9,9,NA,Balsaminaceae,CB
Impatiens rubrostriata,ºìÎÆ·ïÏÉ»¨,6,7,7,9,NA,Balsaminaceae,CB
Impatiens siculifer,»Æ½ğ·ï,7,9,10,11,NA,Balsaminaceae,CB
Impatiens soulieana,¿µ¶¨·ïÏÉ»¨,NA,NA,NA,NA,NA,Balsaminaceae,CB
Impatiens stenosepala,Õ­İà·ïÏÉ»¨,7,8,9,10,NA,Balsaminaceae,CB
Impatiens subecalcarata,½üÎŞ¾à·ïÏÉ»¨,7,8,9,9,Impatiens,Balsaminaceae,CB
Impatiens taronensis,¶ÀÁú·ïÏÉ»¨,8,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens tenerrima,Èá¾¥·ïÏÉ»¨,8,8,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens tienchuanensis,ÌìÈ«·ïÏÉ»¨,9,11,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens tomentella,Î¢ÈŞÃ«·ïÏÉ»¨,7,8,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens tortisepala,Å¤İà·ïÏÉ»¨,8,9,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens torulosa,ÄîÖé·ïÏÉ»¨,8,8,NA,NA,NA,Balsaminaceae,CB
Impatiens uliginosa,µáË®½ğ·ï,7,8,9,9,Impatiens,Balsaminaceae,CB
Impatiens undulata,²¨Ôµ·ïÏÉ»¨,8,9,NA,NA,Impatiens,Balsaminaceae,CB
Impatiens vittata,ÌõÎÆ·ïÏÉ»¨,8,9,NA,NA,NA,Balsaminaceae,CB
Impatiens waldheimiana,ÍßÊÏ·ïÏÉ»¨,7,8,NA,NA,NA,Balsaminaceae,CB
Impatiens wilsonii,°×»¨·ïÏÉ»¨,8,9,NA,NA,NA,Balsaminaceae,CB
Impatiens xanthina,½ğ»Æ·ïÏÉ»¨,8,9,10,10,Impatiens,Balsaminaceae,CB
Impatiens xanthocephala,»ÆÍ··ïÏÉ»¨,8,8,NA,NA,Impatiens,Balsaminaceae,CB
Imperata cylindrica var. major,´ó°×Ã©,5,8,5,8,NA,Poaceae,CB
Imperata latifolia,¿íÒ¶°×Ã©,6,11,6,11,NA,Poaceae,CB
Incarvillea altissima,¸ß²¨ÂŞ»¨,6,8,NA,NA,Incarvillea,Bignoniaceae,CB
Incarvillea arguta,Á½Í·Ã«,3,7,9,12,Incarvillea,Bignoniaceae,CB
Incarvillea arguta var. longipedicellata,³¤¹£Á½Í·Ã«,5,7,9,12,NA,Bignoniaceae,CB
Incarvillea beresowskii,ËÄ´¨²¨ÂŞ»¨,5,7,7,10,Incarvillea,Bignoniaceae,CB
Incarvillea compacta,ÃÜÉú²¨ÂŞ»¨,5,7,8,12,Incarvillea,Bignoniaceae,CB
Incarvillea delavayi,ºì²¨ÂŞ»¨,7,7,NA,NA,Incarvillea,Bignoniaceae,CB
Incarvillea dissectifoliola,ÁÑÒ¶²¨ÂŞ»¨,6,6,NA,NA,NA,Bignoniaceae,CB
Incarvillea forrestii,µ¥Ò¶²¨ÂŞ»¨,5,7,8,11,Incarvillea,Bignoniaceae,CB
Incarvillea lutea,»Æ²¨ÂŞ»¨,5,8,9,1,Incarvillea,Bignoniaceae,CB
Incarvillea mairei,¼¦Èâ²Î,5,7,9,11,Incarvillea,Bignoniaceae,CB
Incarvillea mairei var. grandiflora,´ó»¨¼¦Èâ²Î,6,7,7,9,NA,Bignoniaceae,CB
Incarvillea mairei var. multifoliolata,¶àĞ¡Ò¶¼¦Èâ²Î,6,8,8,10,NA,Bignoniaceae,CB
Incarvillea sinensis,½Çİï,5,9,10,11,Incarvillea,Bignoniaceae,CB
Incarvillea sinensis var. przewalskii,»Æ»¨½Çİï,7,9,NA,NA,NA,Bignoniaceae,CB
Indigofera acutipetala,¼â°êÄ¾À¶,7,7,NA,NA,Indigofera,Fabaceae,WD
Indigofera amblyantha,¶à»¨Ä¾À¶,5,7,9,11,Indigofera,Fabaceae,WD
Indigofera argutidens,¼â³İÄ¾À¶,5,7,9,9,Indigofera,Fabaceae,WD
Indigofera atropurpurea,×ÏÉîÄ¾À¶,5,9,8,12,NA,Fabaceae,WD
Indigofera balfouriana,Àö½­Ä¾À¶,4,7,7,9,Indigofera,Fabaceae,WD
Indigofera bungeana,ºÓ±±Ä¾À¶,5,6,8,10,Indigofera,Fabaceae,WD
Indigofera calcicola,»ÒÑÒÄ¾À¶,7,7,8,8,Indigofera,Fabaceae,WD
Indigofera chaetodonta,´Ì³İÄ¾À¶,6,8,8,10,NA,Fabaceae,WD
Indigofera daochengensis,µ¾³ÇÄ¾À¶,7,7,7,7,Indigofera,Fabaceae,WD
Indigofera delavayi,µáÄ¾À¶,8,9,NA,NA,Indigofera,Fabaceae,WD
Indigofera dichroa,´¨Î÷Ä¾À¶,5,6,7,8,Indigofera,Fabaceae,WD
Indigofera dolichochaete,³¤³İÄ¾À¶,7,8,8,9,Indigofera,Fabaceae,WD
Indigofera dumetorum,»Æ»¨Ä¾À¶,6,6,8,9,Indigofera,Fabaceae,WD
Indigofera forrestii,²ÔÉ½Ä¾À¶,6,7,8,10,Indigofera,Fabaceae,WD
Indigofera franchetii,»ÒÉ«Ä¾À¶,6,9,10,10,NA,Fabaceae,WD
Indigofera galegoides,¼Ù´óÇàÀ¶,4,8,9,10,Indigofera,Fabaceae,WD
Indigofera hancockii,¾îÃ«Ä¾À¶,5,8,10,11,Indigofera,Fabaceae,WD
Indigofera henryi,³¤¹£Ä¾À¶,8,9,10,11,Indigofera,Fabaceae,WD
Indigofera heterantha,Òì»¨Ä¾À¶,4,7,7,10,Indigofera,Fabaceae,WD
Indigofera howellii,³¤ĞòÄ¾À¶,5,9,NA,NA,NA,Fabaceae,WD
Indigofera lenticellata,áº¹ÈÄ¾À¶,5,7,9,10,Indigofera,Fabaceae,WD
Indigofera linifolia,µ¥Ò¶Ä¾À¶,4,5,5,8,Indigofera,Fabaceae,CB
Indigofera mairei,Î÷ÄÏÄ¾À¶,5,6,7,8,NA,Fabaceae,WD
Indigofera mengtzeana,ÃÉ×ÔÄ¾À¶,4,7,8,11,Indigofera,Fabaceae,WD
Indigofera muliensis,Ä¾ÀïÄ¾À¶,5,6,6,7,Indigofera,Fabaceae,WD
Indigofera myosurus,»ªÎ÷Ä¾À¶,5,6,8,8,NA,Fabaceae,WD
Indigofera nigrescens,ºÚÒ¶Ä¾À¶,6,9,9,10,Indigofera,Fabaceae,WD
Indigofera pendula,´¹ĞòÄ¾À¶,6,8,9,10,Indigofera,Fabaceae,WD
Indigofera pendula var. macrophylla,´óÒ¶´¹ĞòÄ¾À¶,6,8,9,10,NA,Fabaceae,WD
Indigofera pendula var. pubescens,Ã«´¹ĞòÄ¾À¶,6,8,9,10,NA,Fabaceae,WD
Indigofera perrottetii,¾ÅÒ¶Ä¾À¶,NA,NA,NA,NA,NA,Fabaceae,
Indigofera potaninii,¸ÊËàÄ¾À¶,3,7,NA,NA,Indigofera,Fabaceae,WD
Indigofera pseudotinctoria,Âí¼¬,5,8,9,10,Indigofera,Fabaceae,WD
Indigofera reticulata,ÍøÒ¶Ä¾À¶,5,7,9,12,Indigofera,Fabaceae,WD
Indigofera rigioclada,Ó²Ò¶Ä¾À¶,4,7,7,9,Indigofera,Fabaceae,WD
Indigofera scabrida,ÏÙÃ«Ä¾À¶,6,9,8,10,Indigofera,Fabaceae,WD
Indigofera sensitiva,Ãô¸ĞÄ¾À¶,6,8,9,11,Indigofera,Fabaceae,WD
Indigofera silvestrii,´ÌĞòÄ¾À¶,6,7,8,10,Indigofera,Fabaceae,WD
Indigofera souliei,¿µ¶¨Ä¾À¶,5,6,6,9,Indigofera,Fabaceae,WD
Indigofera sylvestris,´ÌĞòÄ¾À¶,NA,NA,NA,NA,NA,Fabaceae,
Indigofera szechuensis,ËÄ´¨Ä¾À¶,5,6,7,10,Indigofera,Fabaceae,WD
Indigofera trifoliata,ÈıÒ¶Ä¾À¶,6,9,9,10,NA,Fabaceae,CB
Indigofera wightii,»ÒÉ«Ä¾À¶,8,8,10,11,Indigofera,Fabaceae,WD
Indigofera wilsonii,´ó»¨Ä¾À¶,5,6,NA,NA,Indigofera,Fabaceae,WD
Indocalamus bashanensis,°ÍÉ½óèÖñ,NA,NA,NA,NA,NA,Poaceae,WD
Indocalamus emeiensis,¶ëÃ¼óèÖñ,NA,NA,NA,NA,NA,Poaceae,WD
Indocalamus hispidus,Ó²Ã«óèÖñ,7,8,8.15,8.15,Indocalamus,Poaceae,WD
Indocalamus hunanensis,ºşÄÏóèÖñ,8,9,NA,NA,Indocalamus,Poaceae,WD
